僲	亻 覀 舛
㰡	介 欠 
㰢	开 欠 
㰣	此 欠 
㰤	可 欠 
㰥	世 欠 
㰦	去 欠 
㰧	台 欠 
㰨	只 欠 
㰩	虫 欠 
㰪	圭 欠 
㰫	先 欠 
㰬	旬 欠 
㰭	夸 欠 
㰮	辰 欠 
㰯	豆 欠 
㰰	夾 欠 
㰱	𢆍 欠 
㰲	或 欠 
㰳	亞 欠 
㰴	咅 欠 
㰵	卒 欠 
㰶	咎 欠 
㰷	死 欠 
㰸	㑒 欠 
㰹	咸 欠 
㰺	叚 欠 
㰼	匧 欠 
㰽	匽 欠 
㰿	奚 欠 
㱀	芻 欠 
㱁	祟 欠 
㱂	康 欠 
㱃	酓 欠 
㱄	黑 欠 
㱅	壹 欠 
㱆	䖒 欠 
㱇	嗇 欠 
㱈	禁 欠 
㱉	業 欠 
㱊	憂 欠 
㱋	霍 欠 
㱌	聶 欠 
㱍	䜌 欠 
㱎	𣣴 魚 
㱏	二 止 
㱔	此 夕 
㱖	止 卒 
㱗	止 臭 
㱘	厭 止 
㱙	歹 丂 
㱚	歹 ⺼ 
㱛	歹 歹 
㱜	歹 龰 
㱞	歹 立 
㱟	歹 皮 
㱠	歹 古 
㱡	歹 先 
㱢	歹 良 
㱣	歹 妥 
㱤	歹 析 
㱥	歹 夌 
㱧	歹 宛 
㱨	歹 定 
㱪	歹 昬 
㱫	歹 柬 
㱬	歹 畏 
㱭	歹 段 
㱯	歹 豈 
㱰	歹 宰 
㱱	歹 鬼 
㱲	歹 益 
㱳	莫 歹 
㱴	歹 責 
㱵	歹 賁 
㱶	歹 彭 
㱸	歹 辟 
㱹	歹 歷 
㱺	歹 盧 
㱻	歹 羸 
㱼	巳 殳 
㱽	冘 殳 
㱾	亥 殳 
㱿	士 𠔼 殳 
㲀	辰 殳 
㲁	空 殳 
㲂	尚 殳 
㲃	𠧢 殳 
㲄	士 冖 王 殳 
㲅	害 殳 
㲆	殸 令 
㲈	殸 召 
㲉	𣪊 卵 
㲌	毛 乃 
㲍	支 毛 
㲏	片 毛 
㲒	句 毛 
㲓	毛 戍 
㲔	辛 毛 
㲕	寽 毛 
㲖	肖 毛 
㲗	孚 毛 
㲘	貝 毛 
㲚	沙 毛 
㲛	知 毛 
㲜	炎 毛 
㲝	毛 隹 
㲞	卒 毛 
㲟	英 毛 
㲠	未 攵 毛 
㲡	柰 毛 
㲢	扁 毛 
㲤	衰 毛 
㲥	唐 毛 
㲦	𠦝 𠆢 毛 
㲧	毛 蚤 
㲨	茸 毛 
㲪	登 毛 
㲫	菐 毛 
㲬	焦 毛 
㲭	焱 毛 
㲯	監 毛 
㲰	寧 毛 
㲱	毛 巤 
㲲	疊 毛 
㲳	氐 失 
㲴	气 中 
㲶	气 鹵 
㲷	气 單 
㲸	氵 乙 
㲹	氵 几 
㲺	氵 七 
㲻	亻 水 
㲼	氵 乂 
㲽	氵 刃 
㲾	宀 水 
㳀	氵 戈 
㳁	氵 仄 
㳂	氵 公 
㳃	氵 卆 
㳄	氵 欠 
㳅	氵 不 
㳆	氵 斗 
㳈	氵 𣎳 
㳊	氵 攵 
㳋	氵 丘 
㳌	氵 甲 
㳍	氵 布 
㳎	氵 弁 
㳏	氵 史 
㳐	氵 札 
㳑	氵 皿 
㳒	氵 厺 
㳔	氵 对 
㳖	氵 衣 
㳗	氵 叉 土 
㳙	氵 䏍 
㳛	氵 臾 
㳜	氵 休 
㳡	氵 过 
㳥	氵 弄 
㳦	氵 戒 
㳧	氵 耴 
㳨	氵 𣧄 
㳩	江 丹 
㳪	氵 否 
㳫	水 臼 
㳬	氵 𭻾 
㳭	氵 呆 
㳮	氵 尿 
㳴	氵 𡊭 
㳵	氵 季 
㳶	氵 乳 
㳷	氵 曶 
㳸	氵 花 
㳹	氵 枉 
㳻	氵 昔 
㳼	或 水 
㳽	氵 弥 
㳾	氵 羌 
㳿	氵 𣏋 
㴀	氵 艹 乏 
㴁	氵 夭 井 
㴂	江 冉 
㴃	氵 户 水 
㴄	氵 囧 
㴆	氵 帚 
㴈	氵 岳 
㴉	氵 厽 二 
㴎	氵 奈 
㴏	氵 穴 王 
㴐	氵 眄 
㴑	氵 㡿 
㴒	氵 弈 
㴓	氵 思 
㴕	氵 艹 禾 
㴗	氵 要 
㴘	氵 冒 
㴙	氵 臿 
㴚	氵 㒸 
㴛	氵 致 
㴜	氵 扁 
㴝	利 𠆢 水 
㴥	氵 峭 
㴦	氵 宮 
㴧	氵 息 
㴨	氵 朕 
㴩	氵 邕 
㴪	氵 臬 
㴫	氵 郡 
㴬	氵 射 
㴭	氵 窅 
㴮	氵 屑 
㴯	氵 脂 
㴰	氵 能 
㴲	氵 虒 
㴳	氵 土 尨 
㴴	氵 𠃊 火 𠃊 火 
㴵	氵 𥁑 
㴶	氵 隺 
㴷	氵 耽 
㴸	氵 閃 
㴼	氵 宿 
㴽	氵 悉 
㴾	浡 攵 
㴿	氵 頂 
㵀	氵 族 
㵂	氵 庶 
㵃	氵 蛇 
㵄	氵 或 天 
㵅	氵 貪 
㵆	汨 告 
㵊	氵 最 
㵋	氵 買 
㵌	氵 循 
㵍	氵 悶 
㵎	氵 閒 
㵏	氵 萃 
㵑	氵 賀 
㵒	氵 費 
㵓	氵 寔 
㵔	氵 奢 
㵕	氵 叅 
㵖	氵 絮 
㵗	馮 水 
㵝	氵 裔 
㵞	氵 愁 
㵠	氵 窟 
㵡	氵 雹 
㵢	氵 雷 
㵣	氵 歇 
㵤	氵 翜 
㵥	氵 䀄 
㵦	氵 遀 
㵧	氵 葛 
㵨	辟 水 
㵩	氵 葉 
㵪	氵 羨 
㵫	氵 孴 
㵬	氵 月 盈 
㵭	氵 煮 
㵯	氵 鳳 
㵰	氵 與 
㵱	漂 寸 
㵲	氵 舞 
㵳	氵 寥 
㵴	氵 臧 
㵵	氵 聚 
㵶	氵 截 
㵷	辛 氵 辛 
㵸	氵 𠎤 
㵹	汕 莫 
㵺	氵 箄 
㵻	氵 月 叟 
㵼	氵 冩 
㵽	氵 畾 
㵾	氵 靚 
㵿	氵 皛 
㶀	氵 膠 
㶁	氵 虢 
㶄	氵 閻 
㶅	氵 學 
㶆	氵 諸 
㶇	氵 横 
㶈	氵 螢 
㶌	氵 聯 
㶍	氵 鮮 
㶎	氵 還 
㶏	氵 隱 
㶑	氵 歛 
㶒	氵 闖 
㶓	氵 藏 
㶔	氵 奰 
㶕	氵 簡 
㶖	氵 儵 
㶗	䋣 泉 
㶘	氵 簟 
㶚	氵 覇 
㶛	氵 旟 
㶞	氵 曩 
㶟	氵 纍 
㶠	氵 驛 
㶡	⺇ 火 
㶣	干 火 
㶤	火 夕 
㶥	火 干 
㶦	火 予 
㶧	火 内 
㶫	𡗜 火 
㶬	火 末 
㶭	火 幼 
㶯	火 卯 
㶰	火 甘 
㶴	火 多 
㶵	任 灬 
㶹	火 汞 
㶺	火 吞 
㶼	火 矣 
㶾	𧟡 火 
㶿	火 孛 
㷀	炏 卂 
㷂	臤 火 
㷃	火 長 
㷄	火 果 
㷅	取 火 
㷆	火 阜 
㷇	多 灰 
㷈	火 奄 
㷉	尸 二 火 寸 
㷊	林 灬 
㷍	火 侖 
㷎	火 曷 
㷏	禾 午 火 
㷒	火 禺 
㷓	火 怱 
㷕	酋 火 
㷖	炅 召 
㷗	丿 㠯 巳 火 
㷘	火 枲 
㷟	火 追 
㷠	炎 舛 
㷡	𥄷 火 
㷢	差 火 
㷣	火 𦍌 牛 
㷤	𣪊 火 
㷦	耿 灬 
㷩	丿 臣 巳 火 
㷪	火 隽 
㷬	火 莫 
㷭	逢 火 
㷮	火 曹 
㷯	火 土 奉 
㷳	雁 火 
㷴	厤 火 
㷵	火 黑 
㷶	備 灬 
㷷	火 巽 
㷸	火 𬀽 
㷹	火 䓬 
㷻	火 無 
㷼	廿 北 口 火 
㷾	火 豦 
㷿	火 僉 
㸀	火 㙜 
㸁	火 業 
㸃	黑 占 
㸄	火 齊 
㸅	火 節 
㸇	火 賛 
㸉	火 辛 火 火 
㸊	火 賴 
㸋	炙 番 
㸍	火 戲 
㸎	火 聶 
㸏	靡 火 
㸐	難 灬 
㸑	𦥑 同 焚 
㸒	爫 壬 
㸓	爫 日 
㸔	𠂟 目 
㸕	爪 隻 
㸖	父 且 
㸗	父 同 
㸘	父 罒 丁 
㸙	父 者 
㸛	爿 召 
㸜	爿 空 
㸝	片 欠 
㸟	片 旨 
㸠	片 兆 
㸡	片 朱 
㸢	片 𤰇 
㸣	片 業 
㸤	辛 片 辛 
㸥	片 毚 
㸧	牙 艮 
㸨	牜 丩 
㸩	牜 干 
㸪	牜 川 
㸫	牜 斤 
㸬	牜 巿 
㸭	牜 巴 
㸮	牜 分 
㸯	牜 斗 
㸰	牜 它 
㸱	牜 㐌 
㸲	牜 乍 
㸳	牜 令 
㸵	牜 吉 
㸶	牜 因 
㸷	㓞 牛 
㸹	牜 寽 
㸺	沙 牛 
㸻	牜 矣 
㸽	牜 貝 
㸾	牜 忍 
㸿	牜 壳 
㹀	牜 孛 
㹁	牜 京 
㹂	臤 牛 
㹄	牜 畟 
㹅	牜 怱 
㹆	牜 軍 
㹇	牜 曷 
㹈	未 攵 牛 
㹉	牜 原 
㹊	牜 隺 
㹋	牜 修 
㹌	牜 產 
㹍	牜 啇 
㹎	牜 累 
㹏	牜 堇 
㹐	從 牛 
㹑	牜 貳 
㹒	牜 菐 
㹓	牜 堯 
㹔	牜 畺 
㹕	頑 牛 
㹖	牜 豢 
㹗	牜 壽 
㹘	牜 需 
㹙	牜 𤇾 目 
㹚	牜 營 
㹛	牜 夒 
㹝	犭 氏 
㹞	犭 斤 
㹟	犭 夬 
㹠	犭 屯 
㹡	犭 玄 
㹢	犭 加 
㹣	犭 冬 
㹤	犭 去 
㹥	犭 主 
㹦	犭 召 
㹨	犭 由 
㹫	犭 夷 
㹬	犭 吏 
㹭	犭 曳 
㹮	犭 百 
㹱	犭 足 
㹲	犭 孝 
㹳	犭 吾 
㹵	犭 巠 
㹶	犭 廷 
㹷	希 犬 
㹸	犭 皃 
㹹	犭 庚 
㹺	犭 沓 
㹻	犭 委 
㹼	犭 匊 
㹽	犭 戔 
㹾	犭 咎 
㹿	犭 卓 
㺀	犭 忽 
㺁	犭 𡿺 
㺂	犭 咸 
㺃	犭 苟 
㺅	犭 矦 
㺇	犭 𦣞 犬 
㺈	犭 蚩 
㺉	𣪊 犬 
㺊	犭 恙 
㺋	犭 翁 
㺌	犭 兼 
㺎	犭 庸 
㺏	犭 婁 
㺐	犭 巢 
㺑	犭 參 
㺒	犭 翏 
㺓	犬 責 
㺔	犭 爲 
㺕	犭 番 
㺖	犭 敢 
㺗	犭 單 
㺘	犭 焦 
㺚	犭 達 
㺛	犭 馵 
㺜	犭 農 
㺝	犭 監 
㺞	犭 與 
㺟	犭 翟 
㺠	犭 窳 
㺡	犭 歷 
㺢	犭 霍 
㺣	犭 戲 
㺤	犭 韱 
㺥	犭 毚 
㺦	犭 聯 
㺨	𤣩 厶 
㺩	𤣩 丩 
㺪	𤣩 卜 
㺫	𤣩 刂 
㺬	𤣩 凡 
㺭	𤣩 子 
㺮	𤣩 亏 
㺱	仍 玉 
㺲	𤣩 丑 
㺳	𤣩 攴 
㺴	𤣩 犬 
㺵	𤣩 欠 
㺷	𤣩 术 
㺸	𠆩 玉 
㺹	𤣩 弁 
㺺	𤣩 目 
㺿	𤣩 𦣞 
㻂	𤣩 并 
㻃	曲 玉 
㻄	𤣩 丿 𤴓 
㻅	𤣩 会 
㻉	𤣩 步 
㻊	𤣩 免 
㻋	𤣩 束 
㻌	𤣩 余 
㻍	𤣩 吴 
㻎	大 玨 
㻏	𤣩 灵 
㻑	𤣩 季 
㻒	𤣩 囷 
㻓	𤣩 取 
㻔	𤣩 垂 
㻕	𤣩 屈 
㻖	𤣩 隶 
㻗	非 玉 
㻝	𤣩 剌 
㻠	𤣩 突 
㻡	𤣩 枼 
㻧	𤣩 桀 
㻪	𤣩 隽 
㻫	𤣩 畢 
㻭	𤣩 率 
㻮	𤣩 祭 
㻯	𤣩 虖 
㻰	𤣩 彗 
㻱	𤣩 逢 
㻲	𤣩 婁 
㻵	𤣩 孱 
㻶	𤣩 筆 
㻷	𤣩 棘 
㻸	𤣩 朁 
㻹	石 豕 玉 
㻺	厤 玉 
㻽	𤣩 雋 
㻾	雍 玉 
㻿	𤣩 蜀 
㼆	𤣩 瑩 
㼇	𤣩 嶲 
㼈	𤣩 羅 
㼉	瓜 冘 
㼊	屯 瓜 
㼋	古 瓜 
㼍	耒 瓜 
㼎	瓜 交 
㼏	妥 瓜 
㼐	扁 瓜 
㼑	柬 瓜 
㼒	瓜 昜 
㼓	瓜 兼 
㼔	昷 瓜 
㼕	當 瓜 
㼖	瓜 蠡 
㼗	丁 瓦 
㼘	山 瓦 
㼙	巾 瓦 
㼚	亢 瓦 
㼛	开 瓦 
㼜	央 瓦 
㼝	夗 瓦 
㼞	平 瓦 
㼟	白 瓦 
㼠	它 瓦 
㼡	朱 瓦 
㼢	𦣞 瓦 
㼣	百 瓦 
㼤	㓞 瓦 
㼥	考 瓦 
㼦	巩 瓦 
㼧	甬 瓦 
㼨	含 瓦 
㼩	成 瓦 
㼪	夾 瓦 
㼫	果 瓦 
㼬	幸 瓦 
㼭	坫 瓦 
㼮	妻 瓦 
㼯	東 瓦 
㼰	卑 瓦 
㼱	北 㓁 瓦 
㼲	耎 瓦 
㼳	省 瓦 
㼴	禺 瓦 
㼵	是 瓦 
㼶	俞 瓦 
㼷	耑 瓦 
㼸	容 瓦 
㼹	荒 瓦 
㼺	唐 瓦 
㼻	從 瓦 
㼼	票 瓦 
㼽	爽 瓦 
㼾	鹿 瓦 
㼿	童 瓦 
㽀	奠 瓦 
㽁	厤 瓦 
㽂	翕 瓦 
㽃	番 瓦 
㽄	斯 瓦 
㽆	當 瓦 
㽇	𦥯 瓦 
㽈	疑 瓦 
㽉	𰯲 瓦 
㽊	燮 瓦 
㽋	䜌 瓦 
㽌	霤 瓦 
㽎	甚 冘 
㽑	甘 覃 
㽕	由 𢎘 
㽖	田 力 
㽘	田 亢 
㽙	田 允 
㽚	田 牛 
㽛	田 句 
㽜	夗 田 
㽝	列 田 
㽞	吅 田 
㽟	田 寽 
㽠	田 夾 
㽡	田 卑 
㽢	田 奄 
㽣	田 或 
㽤	田 匊 
㽥	田 柔 
㽦	𤇾 田 
㽧	田 兹 
㽨	田 差 
㽩	田 參 
㽪	田 曾 
㽫	雍 田 
㽭	田 需 
㽯	田 巂 
㽰	朋 疋 
㽱	疒 丩 
㽲	疒 丂 
㽳	疒 于 
㽴	疒 丈 
㽷	疒 水 
㽸	疒 冘 
㽹	疒 反 
㽺	疒 及 
㽻	疒 支 
㽽	疒 古 
㽾	疒 出 
㾀	疒 去 
㾁	疒 术 
㾂	疒 台 
㾃	疒 它 
㾄	疒 由 
㾅	疒 𠂔 
㾆	疒 冉 
㾇	疒 目 
㾈	疒 付 
㾉	疒 令 
㾊	疒 朿 
㾋	疒 休 
㾌	疒 先 
㾍	疒 而 
㾎	疒 凹 
㾏	疒 圭 
㾐	疒 列 
㾑	疒 合 
㾒	疒 如 
㾓	疒 肙 
㾔	疒 吕 
㾕	疒 辛 
㾖	疒 里 
㾗	疒 良 
㾘	疒 更 
㾙	疒 希 
㾚	疒 些 
㾛	疒 𠬶 
㾜	疒 夾 
㾝	疒 車 
㾞	疒 酉 
㾟	疒 步 
㾠	疒 狂 
㾡	疒 却 
㾢	疒 來 
㾣	疒 金 
㾤	疒 空 
㾥	疒 叔 
㾦	疒 咅 
㾧	疒 果 
㾨	疒 奇 
㾩	疒 乖 
㾪	疒 省 
㾫	疒 扁 
㾭	疒 秋 
㾮	疒 皇 
㾯	疒 畏 
㾰	疒 胡 
㾱	疒 発 
㾴	疒 查 
㾵	疒 計 
㾶	疒 骨 
㾷	疒 虒 
㾸	疒 高 
㾹	疒 柴 
㾺	疒 馬 
㾻	疒 除 
㾼	疒 退 
㾽	疒 追 
㾾	疒 兼 
㾿	疒 郎 
㿃	疒 帶 
㿄	疒 殹 
㿅	疒 徙 
㿆	疒 禾 衣 
㿇	疒 習 
㿉	疒 貴 
㿊	疒 朁 
㿋	疒 喿 
㿌	疒 僉 
㿍	疒 解 
㿎	疒 賁 
㿏	疒 羣 
㿑	疒 翟 
㿒	疒 壽 
㿓	疒 夾 足 
㿔	疒 畾 
㿕	疒 閻 
㿖	疒 盧 
㿗	疒 頹 
㿘	疒 營 
㿙	疒 奰 
㿚	疒 羅 
㿛	疒 麗 
㿜	疒 自 龠 
㿞	白 毛 
㿢	明 白 
㿣	白 曷 
㿤	白 春 
㿥	白 隺 
㿦	殸 白 
㿧	白 壽 
㿨	白 歷 
㿩	白 黨 
㿪	皮 丸 
㿫	比 皮 
㿬	皮 巴 
㿮	央 皮 
㿯	合 皮 
㿰	交 皮 
㿱	折 皮 
㿳	皮 甾 
㿴	耷 皮 
㿵	皮 耎 
㿶	旁 皮 
㿷	差 皮 
㿸	皮 曼 
㿹	皮 達 
㿻	干 皿 
㿼	开 皿 
㿽	兮 皿 
㿾	宁 皿 
㿿	疋 皿 
䀀	氾 皿 
䀁	有 皿 
䀂	安 皿 
䀃	豕 皿 
䀄	宓 皿 
䀅	社 皿 
䀆	⺻ 火 皿 
䀇	古 缶 皿 
䀈	既 皿 
䀉	喬 皿 
䀊	漻 皿 
䀌	聿 百 百 皿 
䀍	贛 皿 
䀎	目 丂 
䀏	勹 目 
䀐	目 彡 
䀑	目 叉 
䀒	目 千 
䀓	目 丸 
䀔	目 刃 
䀕	目 引 
䀖	目 天 
䀗	目 夬 
䀘	目 开 
䀙	目 切 
䀚	目 卬 
䀛	目 勿 
䀜	勿 目 
䀞	目 斗 
䀟	目 弗 
䀠	目 目 
䀡	目 占 
䀢	目 矢 
䀣	目 必 
䀤	外 目 
䀥	目 乐 
䀦	目 古 
䀧	目 共 
䀨	目 舌 
䀩	目 各 
䀪	目 行 
䀫	目 合 
䀬	目 全 
䀭	目 亥 
䀮	目 巟 
䀯	目 甫 
䀰	目 谷 
䀱	目 夆 
䀲	目 每 
䀳	目 束 
䀴	目 巠 
䀵	目 矣 
䀶	目 良 
䀷	目 劫 
䀸	折 目 
䀺	攸 目 
䀻	目 甹 
䀼	目 辰 
䀽	目 延 
䀾	石 又 目 
䀿	目 折 
䁁	目 京 
䁂	臤 目 
䁃	目 表 
䁄	目 幸 
䁅	目 孟 
䁆	目 奄 
䁇	宓 目 
䁈	𢼄 目 
䁉	𫼉 目 
䁊	䀑 目 
䁋	目 枼 
䁌	目 胃 
䁍	目 咸 
䁎	目 亭 
䁏	目 要 
䁐	目 英 
䁑	目 昜 
䁒	目 咠 
䁔	目 爰 
䁕	目 昬 
䁗	目 豈 
䁘	目 䍃 
䁙	目 晏 
䁚	目 員 
䁛	目 鬼 
䁜	目 晃 
䁝	𤇾 目 
䁞	𠈌 丆 目 
䁟	目 差 
䁠	目 兼 
䁢	目 旋 
䁣	目 專 
䁤	目 啇 
䁥	目 匿 
䁦	目 虘 
䁧	目 𦰩 
䁨	目 郭 
䁩	目 魚 
䁫	目 黑 
䁬	目 曾 
䁭	目 猋 
䁮	目 朁 
䁯	目 翕 
䁰	目 項 
䁱	目 堯 
䁲	目 買 
䁳	目 莽 
䁴	目 亶 
䁵	目 睘 
䁶	目 敫 
䁷	𦥯 目 
䁸	目 農 
䁹	目 辟 
䁺	目 睪 
䁻	目 樂 
䁼	目 墨 
䁽	目 巤 
䁾	目 蔑 
䁿	默 目 
䂀	目 羲 
䂁	目 毚 
䂂	目 瞿 
䂃	目 爵 
䂄	目 矍 
䂅	目 蠻 
䂆	矛 勺 
䂇	矛 丑 
䂈	矛 虫 
䂉	矛 侯 
䂊	矛 象 
䂌	矛 童 
䂍	矛 暴 
䂎	矛 贊 
䂏	矢 召 
䂐	矢 出 
䂑	矢 此 
䂒	矢 吉 
䂔	矢 幸 
䂕	矢 彖 
䂖	石 丶 
䂗	石 匕 
䂙	石 ⻏ 
䂚	石 爻 
䂛	石 予 
䂜	石 丰 
䂝	石 戈 
䂞	石 木 
䂟	加 石 
䂠	石 矢 
䂡	石 丘 
䂢	石 冬 
䂣	石 此 
䂤	石 付 
䂥	石 民 
䂦	石 㐱 
䂧	石 尔 
䂩	石 因 
䂪	石 兆 
䂫	石 夅 
䂬	巩 石 
䂭	石 交 
䂯	石 庄 
䂰	石 利 
䂱	石 兑 
䂲	劫 石 
䂳	石 坐 
䂴	石 言 
䂵	石 工 页 
䂶	砝 刀 
䂷	石 乖 
䂸	石 或 
䂹	石 炙 
䂺	石 果 
䂻	石 長 
䂼	石 念 
䂽	石 卓 
䂾	石 來 
䃀	石 妻 
䃁	石 亞 
䃂	石 昆 
䃇	石 帛 
䃈	石 皆 
䃉	石 昬 
䃊	石 苴 
䃋	石 俞 
䃌	石 垔 
䃍	石 㒸 
䃏	石 星 
䃑	石 般 
䃒	石 鬲 
䃓	石 冓 
䃔	石 宫 
䃕	𤇾 石 
䃖	石 烏 
䃗	石 剥 
䃘	石 堅 
䃙	石 鹿 
䃚	石 族 
䃛	石 連 
䃜	殹 石 
䃝	石 教 
䃞	孰 石 
䃠	石 旋 
䃡	石 朁 
䃢	石 欽 
䃣	石 爲 
䃤	石 肅 
䃥	石 童 
䃦	敦 石 
䃧	隆 石 
䃩	石 農 
䃪	石 亶 
䃫	石 詹 
䃬	石 嵬 
䃭	石 感 
䃮	石 達 
䃯	石 楽 
䃰	石 察 
䃱	石 韯 
䃲	石 盤 
䃳	石 巤 
䃴	石 諸 
䃵	石 褭 
䃶	石 褱 
䃷	石 嬴 
䃸	石 韱 
䃹	石 闌 
䃺	石 靡 
䃻	石 霸 
䃽	礻 支 
䃾	礻 比 
䃿	礻 夫 
䄀	礻 戈 
䄁	礻 世 
䄂	礻 由 
䄃	礻 央 
䄄	礻 因 
䄅	龹 示 
䄆	礻 舌 
䄇	礻 呈 
䄈	礻 豆 
䄉	礻 我 
䄋	礻 奄 
䄌	礻 叕 
䄍	礻 昔 
䄎	礻 奇 
䄏	礻 芺 
䄐	祟 已 
䄑	礻 昏 
䄒	礻 念 
䄓	礻 皇 
䄔	礻 禹 
䄕	礻 畓 
䄘	礻 旁 
䄙	礻 冥 
䄚	礻 曹 
䄛	礻 婁 
䄜	礻 离 
䄝	礻 舂 
䄟	毳 示 
䄠	礻 亶 
䄡	礻 詹 
䄢	礻 齊 
䄤	礻 賴 
䄥	礻 靈 
䄹	禾 𠆢 千 
䄺	禾 夷 
䄻	禾 兆 
䄼	禾 㐁 
䄽	禾 西 
䄾	禾 戎 
䄿	禾 曳 
䅀	禾 列 
䅁	安 禾 
䅂	禾 各 
䅃	巩 禾 
䅄	禾 劦 
䅅	禾 圭 
䅆	禾 次 
䅇	覀 禾 
䅈	龹 禾 
䅊	禾 㡯 
䅋	禾 免 
䅌	禾 肙 
䅍	禾 廷 
䅎	禾 秀 
䅏	禾 尾 
䅐	禾 見 
䅑	禾 妥 
䅒	禾 芒 
䅓	禾 句 又 
䅔	禾 甾 
䅕	禾 居 
䅖	禾 奄 
䅗	禾 委 
䅘	禾 來 
䅙	禾 昆 
䅚	禾 卷 
䅛	禾 昌 
䅜	禾 垂 
䅝	禾 空 
䅞	禾 㝵 
䅠	禾 是 
䅡	禾 頁 
䅢	禾 胄 
䅣	禾 皇 
䅤	禾 臿 
䅥	禾 曷 
䅦	禾 苗 
䅧	禾 音 
䅩	禾 支 只 
䅪	禾 贵 
䅬	禾 益 
䅭	禾 旁 
䅮	禾 倉 
䅯	禾 唐 
䅰	禾 恩 
䅱	禾 豈 
䅲	禾 耆 
䅳	禾 芻 
䅴	禾 索 
䅵	禾 羔 
䅶	禾 辰 寸 
䅷	禾 荼 
䅸	禾 莘 
䅹	禾 婁 
䅺	禾 票 
䅻	禾 离 
䅼	禾 曼 
䅽	殸 禾 
䅾	禾 朁 
䅿	禾 華 
䆀	禾 黑 
䆁	禾 睪 
䆂	禾 廉 
䆃	道 禾 
䆄	禾 亶 
䆅	禾 資 
䆈	禾 遲 
䆉	禾 罷 
䆊	禾 冀 
䆍	禾 龍 
䆎	禾 韱 
䆏	禾 糞 
䆑	穴 丁 
䆒	穴 丸 
䆓	穴 允 
䆔	穴 中 
䆕	穴 夬 
䆖	穴 厷 
䆗	穴 叫 
䆘	穴 甲 
䆙	穴 正 
䆚	穴 同 
䆛	穴 吒 
䆜	穴 有 
䆝	穴 血 
䆞	穴 㫐 
䆟	穴 合 
䆠	穴 臣 
䆡	穴 良 
䆢	穴 抉 
䆣	穴 辰 
䆦	穴 炎 
䆨	穴 昊 
䆩	穴 𰥍 
䆪	光 空 
䆫	穴 怱 
䆬	穴 員 
䆭	穴 軒 
䆮	穴 浸 
䆯	穴 叕 女 
䆰	穴 區 
䆱	穴 淡 
䆲	穴 康 
䆳	穴 逐 
䆵	穴 曾 
䆶	穴 焦 
䆷	穴 矞 
䆸	穴 登 
䆹	穴 童 
䆺	穴 番 
䆻	穴 敢 
䆽	穴 豦 
䆾	穴 監 
䆿	穴 爿 臬 
䇀	穴 𩊐 
䇁	穴 鮮 
䇃	立 巳 
䇅	立 戈 
䇇	立 民 
䇈	立 圣 
䇋	立 多 
䇌	立 肖 
䇍	立 足 
䇎	立 昔 
䇏	立 享 
䇐	立 隶 
䇑	立 卑 
䇒	既 立 
䇓	須 立 
䇔	𣎆 立 
䇖	竹 𠚣 
䇗	竹 公 
䇘	竹 互 
䇙	竹 引 
䇛	竹 止 
䇜	竹 欠 
䇞	竹 甘 
䇟	竹 夕 力 
䇠	竹 主 
䇡	竹 宁 
䇢	竹 古 
䇣	竹 尒 
䇤	竹 丙 
䇥	竹 正 
䇧	竹 㐁 
䇨	竹 夅 
䇩	竹 曳 
䇪	竹 至 
䇫	竹 𦣞 
䇬	竹 朱 
䇭	竹 老 
䇮	竹 任 
䇯	竹 耳 
䇰	竹 丞 
䇵	竹 沂 
䇶	竹 角 
䇷	竹 别 
䇸	竹 呈 
䇹	竹 君 
䇺	竹 豆 
䇻	竹 尾 
䇼	竹 邑 
䇽	竹 折 
䇾	竹 言 
䈀	竹 删 
䈁	竹 侖 
䈂	竹 并 
䈃	竹 沼 
䈄	竹 函 
䈅	竹 或 
䈆	竹 戾 
䈇	竹 卓 
䈈	竹 肥 
䈉	竹 妾 
䈊	竹 夌 
䈋	竹 沓 
䈌	竹 沮 
䈍	竹 盲 
䈎	竹 枼 
䈏	竹 畐 
䈐	竹 恢 
䈑	竹 咼 
䈒	竹 南 
䈓	竹 曷 
䈕	竹 是 
䈖	竹 科 
䈗	竹 俊 
䈘	竹 兹 
䈙	竹 紂 
䈚	竹 怠 
䈛	竹 ⺊ 冊 又 
䈜	竹 侵 
䈝	竹 胥 
䈞	竹 亯 
䈟	竹 則 
䈠	竹 爰 
䈡	竹 怱 
䈢	竹 枲 
䈣	竹 政 
䈤	竹 柑 
䈥	竹 觔 
䈦	竹 㚇 
䈧	竹 為 
䈪	竹 鬲 
䈬	竹 浦 
䈭	竹 鬼 
䈮	竹 竘 
䈯	竹 真 
䈰	竹 捎 
䈱	竹 舀 
䈲	竹 般 
䈳	竹 𦐇 
䈴	竹 兼 
䈵	竹 翁 
䈶	竹 容 
䈷	竹 格 
䈸	竹 斛 
䈹	竹 宿 
䈺	竹 終 
䈻	竹 脯 
䈼	竹 密 
䈽	竹 堇 
䈾	竹 梢 
䈿	竹 冥 
䉀	竹 庶 
䉁	竹 聆 
䉂	竹 累 
䉃	竹 將 
䉄	竹 陵 
䉅	竹 執 
䉆	竹 鳥 
䉈	竹 散 
䉉	竹 觚 
䉊	竹 軬 
䉋	竹 媚 
䉌	竹 隊 
䉍	竹 悶 
䉎	竹 棠 
